no,Date,Time,Currency,Impact,News description,Actual,Forecast,Previous,Revised from,FF event ID
1,2007-01-01,0:01,CAD,N,Bank Holiday [All Day],,,,,12245
2,2007-01-01,0:01,CHF,N,Bank Holiday [All Day],,,,,12036
3,2007-01-01,0:01,EUR,N,French Bank Holiday [All Day],,,,,12214
4,2007-01-01,0:01,EUR,N,German Bank Holiday [All Day],,,,,12186
5,2007-01-01,0:01,EUR,N,Italian Bank Holiday [All Day],,,,,12217
6,2007-01-01,0:01,GBP,N,Bank Holiday [All Day],,,,,12031
7,2007-01-01,0:01,JPY,N,Bank Holiday [All Day],,,,,12086
8,2007-01-01,0:01,NZD,N,Bank Holiday [All Day],,,,,12092
9,2007-01-01,0:01,USD,N,Bank Holiday [All Day],,,,,12004
10,2007-01-01,18:30,AUD,L,AIG Manufacturing Index,52.4,,54.4,,3232
11,2007-01-01,20:00,CNY,N,Bank Holiday,,,,,23273
12,2007-01-01,22:30,CNY,M,Caixin Final Manufacturing PMI,52.4,,53,,18320
13,2007-01-02,0:01,CHF,N,Bank Holiday [All Day],,,,,48241
14,2007-01-02,0:01,JPY,N,Bank Holiday [All Day],,,,,3274
15,2007-01-02,1:30,AUD,M,Commodity Prices y/y,11.00%,,13.90%,13.50%,10310
16,2007-01-02,4:15,EUR,L,Spanish Manufacturing PMI,57.2,,56.1,,43789
17,2007-01-02,4:45,EUR,L,Italian Manufacturing PMI,55,55.5,54.8,,43431
18,2007-01-02,5:00,EUR,M,Final Manufacturing PMI,56.5,56.5,56.6,,3234
19,2007-01-02,5:30,GBP,M,Manufacturing PMI,51.9,53,52.5,52.6,3235
20,2007-01-03,0:01,USD,L,Total Vehicle Sales [All Day],16.7M,16.5M,16.1M,,3256
21,2007-01-03,4:00,EUR,L,Spanish Unemployment Change,-0.3K,,30.3K,,43968
22,2007-01-03,4:30,CHF,M,Manufacturing PMI,65,66,67,,3257
23,2007-01-03,4:55,EUR,M,German Unemployment Change,-96K,-110K,-90K,,3258
24,2007-01-03,5:30,GBP,L,Construction PMI,57.5,54.5,54.8,,3259
25,2007-01-03,6:09,EUR,L,German 10-y Bond Auction,3.94|1.8,,3.72|1.6,,43161
26,2007-01-03,9:15,USD,M,ADP Non-Farm Employment Change,-40K,120K,230K,158K,3238
27,2007-01-03,11:00,USD,H,ISM Manufacturing PMI,51.4,51,49.5,,3236
28,2007-01-03,11:00,USD,L,Construction Spending m/m,-0.20%,-0.60%,-1.00%,,3239
29,2007-01-03,11:00,USD,L,ISM Manufacturing Prices,47.5,54,53.5,,3237
30,2007-01-03,15:00,USD,H,FOMC Meeting Minutes,,,,,3240
31,2007-01-03,17:45,NZD,H,Trade Balance,-785M,-976M,-1174M,-1167M,3260
32,2007-01-03,18:30,AUD,L,AIG Services Index,49.5,,48.5,,10194
33,2007-01-04,2:45,CHF,H,CPI m/m,0.00%,0.10%,0.00%,,3261
34,2007-01-04,4:15,EUR,L,Spanish Services PMI,58.1,,60.4,,43885
35,2007-01-04,4:45,EUR,L,Italian Services PMI,55,56.2,56.2,,43435
36,2007-01-04,5:00,EUR,L,Final Services PMI,57.2,57.5,57.6,,3263
37,2007-01-04,5:30,GBP,L,Mortgage Approvals,129K,120K,128K,,10286
38,2007-01-04,5:30,GBP,L,Net Lending to Individuals m/m,10.9B,11.0B,10.8B,10.9B,3265
39,2007-01-04,5:30,GBP,M,Services PMI,60.6,60,59.8,,3264
40,2007-01-04,5:55,EUR,L,French 10-y Bond Auction,3.97|2.4,,3.74|2.4,,43326
41,2007-01-04,6:00,EUR,L,CPI Flash Estimate y/y,1.90%,1.90%,1.90%,1.80%,3266
42,2007-01-04,6:00,EUR,L,Italian Prelim CPI m/m,0.10%,0.10%,0.20%,0.10%,9537
43,2007-01-04,6:30,GBP,M,GfK Consumer Confidence,-8,-6,-7,,18310
44,2007-01-04,8:30,GBP,L,MPC Member Blanchflower Speaks,,,,,12650
45,2007-01-04,8:30,USD,L,Challenger Job Cuts y/y,-49.30%,,-22.70%,,8622
46,2007-01-04,9:30,CAD,L,IPPI m/m,0.00%,0.50%,-0.10%,,3241
47,2007-01-04,9:30,CAD,M,RMPI m/m,0.90%,1.00%,-2.80%,,3242
48,2007-01-04,9:30,USD,L,Unemployment Claims,329K,318K,317K,,3243
49,2007-01-04,11:00,USD,H,ISM Non-Manufacturing PMI,57.1,58,58.9,,3244
50,2007-01-04,11:00,USD,H,Pending Home Sales m/m,-0.50%,0.00%,-1.50%,-1.70%,9879
51,2007-01-04,11:00,USD,M,Factory Orders m/m,0.90%,1.50%,-4.50%,-4.70%,3246
52,2007-01-04,11:30,USD,L,Crude Oil Inventories,-1.3M,-2.0M,-8.1M,,3267
53,2007-01-04,19:50,JPY,L,Monetary Base y/y,-20.00%,-23.50%,-22.30%,,3268
54,2007-01-05,4:00,CHF,L,Foreign Currency Reserves,45.6B,,45.6B,,42187
55,2007-01-05,4:00,GBP,H,Halifax HPI m/m,-1.00%,1.00%,1.60%,1.70%,9357
56,2007-01-05,5:00,EUR,L,Retail PMI,52.1,,53.7,,43575
57,2007-01-05,6:00,EUR,L,Consumer Confidence,-6,-7,-7,,11250
58,2007-01-05,6:00,EUR,L,PPI m/m,0.00%,0.10%,0.00%,,3269
59,2007-01-05,6:00,EUR,L,Retail Sales m/m,0.50%,0.50%,0.30%,,3270
60,2007-01-05,6:00,EUR,L,Unemployment Rate,7.60%,7.60%,7.70%,,3271
61,2007-01-05,8:00,CAD,H,Employment Change,62.0K,17.0K,22.0K,,3247
62,2007-01-05,8:00,CAD,H,Unemployment Rate,6.10%,6.30%,6.30%,,3248
63,2007-01-05,9:30,USD,H,Non-Farm Employment Change,167K,115K,132K,,3249
64,2007-01-05,9:30,USD,H,Unemployment Rate,4.50%,4.50%,4.50%,,3250
