Event ID,Date,Time,Currency,Impact,News description,Actual,Forecast,Previous,Revised from,FF event ID
35689,2011-01-02,0:01,AUD,N,Bank Holiday [All Day],,,,,35689
37021,2011-01-02,0:01,JPY,N,Bank Holiday [All Day],,,,,37021
35681,2011-01-02,0:01,NZD,N,Bank Holiday [All Day],,,,,35681
42240,2011-01-02,21:00,CNY,L,Non-Manufacturing PMI,56.5,,53.2,,42240
37036,2011-01-03,0:01,CAD,N,Bank Holiday [All Day],,,,,37036
37044,2011-01-03,0:01,CHF,N,Bank Holiday [All Day],,,,,37044
36992,2011-01-03,0:01,EUR,N,French Bank Holiday [All Day],,,,,36992
36993,2011-01-03,0:01,EUR,N,Italian Bank Holiday [All Day],,,,,36993
35699,2011-01-03,0:01,GBP,N,Bank Holiday [All Day],,,,,35699
35683,2011-01-03,0:01,NZD,N,Bank Holiday [All Day],,,,,35683
43837,2011-01-03,4:15,EUR,M,Spanish Manufacturing PMI,51.5,,50,,43837
35067,2011-01-03,4:30,CHF,M,Manufacturing PMI,59.6,61.7,61.8,,35067
43491,2011-01-03,4:45,EUR,M,Italian Manufacturing PMI,54.7,52.3,52,,43491
58932,2011-01-03,4:50,EUR,L,French Final Manufacturing PMI,57.2,56.3,56.3,,58932
58990,2011-01-03,4:55,EUR,L,German Final Manufacturing PMI,60.7,60.9,60.9,,58990
33210,2011-01-03,5:00,EUR,L,Final Manufacturing PMI,57.1,56.9,56.8,,33210
32964,2011-01-03,11:00,USD,H,ISM Manufacturing PMI,57,57,56.6,,32964
34105,2011-01-03,11:00,USD,L,Construction Spending m/m,0.40%,0.20%,0.70%,,34105
32965,2011-01-03,11:00,USD,L,ISM Manufacturing Prices,72.5,71.2,69.5,,32965
32999,2011-01-03,18:30,AUD,L,AIG Manufacturing Index,46.3,,47.6,,32999
33405,2011-01-04,0:01,USD,L,Total Vehicle Sales [All Day],12.6M,12.3M,12.3M,,33405
36110,2011-01-04,1:33,AUD,M,Commodity Prices y/y,47.70%,,45.70%,44.40%,36110
44016,2011-01-04,4:00,EUR,M,Spanish Unemployment Change,-10.2K,,24.3K,,44016
36903,2011-01-04,4:55,EUR,M,German Unemployment Change,3K,-12K,-8K,-9K,36903
33154,2011-01-04,5:30,GBP,H,Manufacturing PMI,58.3,57.3,57.5,58,33154
36315,2011-01-04,5:30,GBP,L,M4 Money Supply m/m,-0.80%,0.40%,0.70%,,36315
35646,2011-01-04,5:30,GBP,L,Mortgage Approvals,48K,47K,47K,,35646
35647,2011-01-04,5:30,GBP,M,Net Lending to Individuals m/m,0.7B,0.9B,1.5B,1.3B,35647
26543,2011-01-04,6:00,EUR,L,Italian Prelim CPI m/m,0.40%,0.20%,0.00%,,26543
35169,2011-01-04,6:00,EUR,M,CPI Flash Estimate y/y,2.20%,2.00%,1.90%,,35169
56241,2011-01-04,9:30,NZD,L,GDT Price Index,5.80%,,2.30%,,56241
33996,2011-01-04,11:00,USD,M,Factory Orders m/m,0.70%,-0.10%,-0.70%,-0.90%,33996
37166,2011-01-04,15:00,USD,H,FOMC Meeting Minutes,,,,,37166
36761,2011-01-04,19:50,JPY,L,Monetary Base y/y,7.00%,7.90%,7.60%,,36761
28990,2011-01-04,20:58,AUD,M,HIA New Home Sales m/m,-0.20%,,6.10%,2.40%,28990
43933,2011-01-05,4:15,EUR,L,Spanish Services PMI,46.2,,48.3,,43933
43551,2011-01-05,4:45,EUR,L,Italian Services PMI,50.2,53.6,54.4,,43551
59152,2011-01-05,4:50,EUR,L,French Final Services PMI,54.9,54.1,54.1,,59152
59164,2011-01-05,4:55,EUR,L,German Final Services PMI,59.2,58.3,58.3,,59164
35622,2011-01-05,5:00,EUR,L,Final Services PMI,54.2,53.7,53.7,,35622
33166,2011-01-05,5:30,GBP,M,Construction PMI,49.1,51.1,51.8,,33166
35171,2011-01-05,6:00,EUR,L,PPI m/m,0.30%,0.30%,0.40%,,35171
35172,2011-01-05,6:00,EUR,M,Industrial New Orders m/m,1.40%,1.30%,-4.20%,-3.80%,35172
42356,2011-01-05,6:05,EUR,M,German 10-y Bond Auction,2.87|1.6,,2.59|1.2,,42356
